sample,condition
ENSG00000284653,normal
ENSG00000261781,normal
ENSG00000117154,normal
ENSG00000280222,normal
ENSG00000230035,normal
ENSG00000225387,normal
ENSG00000179023,normal
ENSG00000235282,normal
ENSG00000225478,normal
ENSG00000009709,normal
ENSG00000179002,normal
ENSG00000159423,normal
ENSG00000265606,normal
ENSG00000221662,normal
ENSG00000169991,normal
ENSG00000272084,normal
ENSG00000127481,normal
ENSG00000230424,normal
ENSG00000127463,normal
ENSG00000053372,normal
ENSG00000286064,normal
ENSG00000211454,normal
ENSG00000162482,normal
ENSG00000270728,normal
ENSG00000053371,normal
ENSG00000200403,normal
ENSG00000040487,normal
ENSG00000077549,normal
ENSG00000240490,normal
ENSG00000173436,normal
ENSG00000201609,normal
ENSG00000235185,normal
ENSG00000158747,normal
ENSG00000270136,normal
ENSG00000226396,normal
ENSG00000158748,normal
ENSG00000162542,normal
ENSG00000178828,normal
ENSG00000235434,normal
ENSG00000169914,normal
ENSG00000188784,normal
ENSG00000242688,normal
ENSG00000188257,normal
ENSG00000127472,normal
ENSG00000117215,normal
ENSG00000158786,normal
ENSG00000227066,normal
ENSG00000187980,normal
ENSG00000162543,normal
ENSG00000228105,normal
ENSG00000284710,normal
ENSG00000158816,normal
ENSG00000226664,normal
ENSG00000236963,normal
ENSG00000226487,normal
ENSG00000284641,normal
ENSG00000284743,normal
ENSG00000162545,normal
ENSG00000289402,normal
ENSG00000090432,normal
ENSG00000215520,normal
ENSG00000183114,normal
ENSG00000158825,normal
ENSG00000158828,normal
ENSG00000284005,normal
ENSG00000117242,normal
ENSG00000244038,normal
ENSG00000117245,normal
ENSG00000235432,normal
ENSG00000189410,normal
ENSG00000233069,normal
ENSG00000127483,normal
ENSG00000075151,normal
ENSG00000251914,normal
ENSG00000221808,normal
ENSG00000233072,normal
ENSG00000236073,normal
ENSG00000235112,normal
ENSG00000287192,normal
ENSG00000117298,normal
ENSG00000236936,normal
ENSG00000231105,normal
ENSG00000236216,normal
ENSG00000228823,normal
ENSG00000236009,normal
ENSG00000227001,normal
ENSG00000187952,normal
ENSG00000186543,normal
ENSG00000142794,normal
ENSG00000176378,normal
ENSG00000162551,normal
ENSG00000289715,normal
ENSG00000233431,normal
ENSG00000076864,normal
ENSG00000090686,normal
ENSG00000231978,normal
ENSG00000187942,normal
ENSG00000142798,normal
ENSG00000232037,normal
ENSG00000283234,normal
ENSG00000219073,normal
ENSG00000285959,normal
ENSG00000273610,normal
ENSG00000201919,normal
ENSG00000142789,normal
ENSG00000278124,normal
ENSG00000201273,normal
ENSG00000228397,normal
ENSG00000218510,normal
ENSG00000289694,normal
ENSG00000285752,normal
ENSG00000285794,normal
ENSG00000070831,normal
ENSG00000230068,normal
ENSG00000271428,normal
ENSG00000162552,normal
ENSG00000285873,normal
ENSG00000266564,normal
ENSG00000234397,normal
ENSG00000279625,normal
ENSG00000184677,normal
ENSG00000237200,normal
ENSG00000070886,normal
ENSG00000276835,normal
ENSG00000173372,normal
ENSG00000289692,normal
ENSG00000159189,normal
ENSG00000173369,normal
ENSG00000133216,normal
ENSG00000265422,normal
ENSG00000225952,normal
ENSG00000264014,normal
ENSG00000215906,normal
ENSG00000227868,normal
ENSG00000004487,normal
ENSG00000240553,normal
ENSG00000263793,normal
ENSG00000266802,normal
ENSG00000169641,normal
ENSG00000229010,normal
ENSG00000206935,normal
ENSG00000252578,normal
ENSG00000289014,normal
ENSG00000179546,normal
ENSG00000215381,normal
ENSG00000261326,normal
ENSG00000284726,normal
ENSG00000125944,normal
ENSG00000125945,normal
ENSG00000249087,normal
ENSG00000201405,normal
ENSG00000271420,normal
ENSG00000204219,normal
ENSG00000232482,normal
ENSG00000088280,normal
ENSG00000007968,normal
ENSG00000235052,normal
ENSG00000117318,normal
ENSG00000285802,normal
ENSG00000197880,normal
ENSG00000229239,normal
ENSG00000142676,normal
ENSG00000236810,normal
ENSG00000011007,normal
ENSG00000057757,normal
ENSG00000289835,normal
ENSG00000011009,normal
ENSG00000117308,normal
ENSG00000117305,normal
ENSG00000179163,normal
ENSG00000188822,normal
ENSG00000229106,normal
ENSG00000232557,normal
ENSG00000264926,normal
ENSG00000230228,normal
ENSG00000189266,normal
ENSG00000188529,normal
ENSG00000215905,normal
ENSG00000225315,normal
ENSG00000142661,normal
ENSG00000230703,normal
ENSG00000142677,normal
ENSG00000185436,normal
ENSG00000158055,normal
ENSG00000230023,normal
ENSG00000232298,normal
ENSG00000001460,normal
ENSG00000001461,normal
ENSG00000288982,normal
ENSG00000286061,normal
ENSG00000117602,normal
ENSG00000264443,normal
ENSG00000184454,normal
ENSG00000227312,normal
ENSG00000239106,normal
ENSG00000133226,normal
ENSG00000284699,normal
ENSG00000169504,normal
ENSG00000238482,normal
ENSG00000020633,normal
ENSG00000278034,normal
ENSG00000229162,normal
ENSG00000261025,normal
ENSG00000264371,normal
ENSG00000285823,normal
ENSG00000233755,normal
ENSG00000233419,normal
ENSG00000231953,normal
ENSG00000117614,normal
ENSG00000284602,normal
ENSG00000284657,normal
ENSG00000117616,normal
ENSG00000272432,normal
ENSG00000261349,normal
ENSG00000187010,normal
ENSG00000224183,normal
ENSG00000259984,normal
ENSG00000183726,normal
ENSG00000188672,normal
ENSG00000238084,normal
ENSG00000204178,normal
ENSG00000157978,normal
ENSG00000225643,normal
ENSG00000117643,normal
ENSG00000233478,normal
ENSG00000162430,normal
ENSG00000255054,normal
ENSG00000228172,normal
ENSG00000117640,normal
ENSG00000272478,normal
ENSG00000127423,normal
ENSG00000236528,normal
ENSG00000182749,normal
ENSG00000207302,normal
ENSG00000117632,normal
ENSG00000229786,normal
ENSG00000223624,normal
ENSG00000283938,normal
ENSG00000158006,normal
ENSG00000207237,normal
ENSG00000252190,normal
ENSG00000252691,normal
ENSG00000158008,normal
ENSG00000158014,normal
ENSG00000284309,normal
ENSG00000158022,normal
ENSG00000175087,normal
ENSG00000197245,normal
ENSG00000282872,normal
ENSG00000236782,normal
ENSG00000142684,normal
ENSG00000142675,normal
ENSG00000188782,normal
ENSG00000236155,normal
ENSG00000278572,normal
ENSG00000130695,normal
ENSG00000270733,normal
ENSG00000142669,normal
ENSG00000158062,normal
ENSG00000169442,normal
ENSG00000176092,normal
ENSG00000225854,normal
ENSG00000176083,normal
ENSG00000131914,normal
ENSG00000117682,normal
ENSG00000223583,normal
ENSG00000225891,normal
ENSG00000198830,normal
ENSG00000224129,normal
ENSG00000117676,normal
ENSG00000238705,normal
ENSG00000243905,normal
ENSG00000252802,normal
ENSG00000252429,normal
ENSG00000289452,normal
ENSG00000229247,normal
ENSG00000238316,normal
ENSG00000235069,normal
ENSG00000260063,normal
ENSG00000290006,normal
ENSG00000117713,normal
ENSG00000060642,normal
ENSG00000241188,normal
ENSG00000287810,normal
ENSG00000204160,normal
ENSG00000175793,normal
ENSG00000142751,normal
ENSG00000226698,normal
ENSG00000289554,normal
ENSG00000198746,normal
ENSG00000090273,normal
ENSG00000131910,normal
ENSG00000175707,normal
ENSG00000172746,normal
ENSG00000224064,normal
ENSG00000225294,normal
ENSG00000253368,normal
ENSG00000158246,normal
ENSG00000090020,normal
ENSG00000229985,normal
ENSG00000214973,normal
ENSG00000225159,normal
ENSG00000225990,normal
ENSG00000224311,normal
ENSG00000142784,normal
ENSG00000252098,normal
ENSG00000243659,normal
ENSG00000186501,normal
ENSG00000206888,normal
ENSG00000241547,normal
ENSG00000142765,normal
ENSG00000142733,normal
ENSG00000142748,normal
ENSG00000174950,normal
ENSG00000231207,normal
ENSG00000181773,normal
ENSG00000158195,normal
ENSG00000241169,normal
ENSG00000237429,normal
ENSG00000126705,normal
ENSG00000000938,normal
ENSG00000235912,normal
ENSG00000233975,normal
ENSG00000126709,normal
ENSG00000225886,normal
ENSG00000206767,normal
ENSG00000226662,normal
ENSG00000207095,normal
ENSG00000287244,normal
ENSG00000009780,normal
ENSG00000231344,normal
ENSG00000230833,normal
ENSG00000117758,normal
ENSG00000269971,normal
ENSG00000270031,normal
ENSG00000223062,normal
ENSG00000286433,normal
ENSG00000117751,normal
ENSG00000252947,normal
ENSG00000130775,normal
ENSG00000117748,normal
ENSG00000130768,normal
ENSG00000227050,normal
ENSG00000158156,normal
ENSG00000158161,normal
ENSG00000238231,normal
ENSG00000240750,normal
ENSG00000228589,normal
ENSG00000228943,normal
ENSG00000289576,normal
ENSG00000214812,normal
ENSG00000253005,normal
ENSG00000169403,normal
ENSG00000126698,normal
ENSG00000290123,normal
ENSG00000130770,normal
ENSG00000270605,normal
ENSG00000271398,normal
ENSG00000130766,normal
ENSG00000130772,normal
ENSG00000204138,normal
ENSG00000206779,normal
ENSG00000229820,normal
ENSG00000221216,normal
ENSG00000180198,normal
ENSG00000242125,normal
ENSG00000274266,normal
ENSG00000200087,normal
ENSG00000231468,normal
ENSG00000279443,normal
ENSG00000180098,normal
ENSG00000197989,normal
ENSG00000221539,normal
ENSG00000278274,normal
ENSG00000273544,normal
ENSG00000280498,normal
ENSG00000274582,normal
ENSG00000120656,normal
ENSG00000188060,normal
ENSG00000229388,normal
ENSG00000270103,normal
ENSG00000274978,normal
ENSG00000162419,normal
ENSG00000252777,normal
ENSG00000289291,normal
ENSG00000198492,normal
ENSG00000116329,normal
ENSG00000233427,normal
ENSG00000199756,normal
ENSG00000159023,normal
ENSG00000225616,normal
ENSG00000206704,normal
ENSG00000277958,normal
ENSG00000253304,normal
ENSG00000225750,normal
ENSG00000116350,normal
ENSG00000277916,normal
ENSG00000116353,normal
ENSG00000237934,normal
ENSG00000060656,normal
ENSG00000230523,normal
ENSG00000225011,normal
ENSG00000228176,normal
ENSG00000284676,normal
ENSG00000270927,normal
ENSG00000233399,normal
ENSG00000233372,normal
ENSG00000231251,normal
ENSG00000236335,normal
ENSG00000231949,normal
ENSG00000289710,normal
ENSG00000162510,normal
ENSG00000186056,normal
ENSG00000287510,normal
ENSG00000162511,normal
ENSG00000264773,normal
ENSG00000229607,normal
ENSG00000223382,normal
ENSG00000222784,normal
ENSG00000235143,normal
